Product,Variant,SKU,Price,Available,Color,URL
Silk PLA  1.75mm,1.75mm / Silk White / 1-pack,VFPSWE17511,23.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Red / 1-pack,VFPSRE17511,23.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Fresh Red / 1-pack,OVS-VFPFRD11-010161,23.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Christmas Red / 1-pack,VSA030001,23.99,False,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Neon green / 1-pack,VFPSLN17511,23.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Green / 1-pack,VFPSEE17511,23.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Purple / 1-pack,VFPPL11-010003,23.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Blue / 1-pack,VFPSBE17511,23.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Gold-Silver / 1-pack,OVS-VFPGOS11-010113,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Green-Silver / 1-pack,OVS-VFPGRS11-010118,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Blue-Silver / 1-pack,OVS-VFPBLS11-010116,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Magenta-Gold / 1-pack,OVS-VFPMAG11-010117,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Red-Gold / 1-pack,OVS-VFPREG11-010115,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Green-Magenta / 1-pack,OVS-VFPGRM11-010119,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Blue-Yellow / 1-pack,OVS-VFPBLY11-010120,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Green-Blue / 1-pack,OVS-VFPGRB11-010112,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Purple-Gold / 1-pack,OVS-VFPPUG11-010114,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Caramel / 1-pack,VSA030013,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Tiger Eye / 1-pack,VSA030015,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Tropic / 1-pack,VSA030005,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Glacier Flash / 1-pack,VSA030006,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Purple Chrome / 1-pack,VSA030002,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Lime Surge / 1-pack,VSA030003,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Evergreen Bronze / 1-pack,VSA030012,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Golden Ember / 1-pack,VSA030011,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Chrome Gray / 1-pack,VSA030014,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Periwinkle / 1-pack,VSA030016,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Lettuce Tomato / 1-pack,VSA030007,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Copper Shore / 1-pack,VSA030008,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Punch Pink / 1-pack,VSA030009,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
Silk PLA  1.75mm,1.75mm / Silk Parakeet / 1-pack,VSA030010,25.99,True,1.75mm,https://overture3d.com/products/overture-silk-pla-3d-printer-filament-1-75mm
