Material,brand_name,color_name,Weight,Price (USD),Availability,Image URL,Product URL
PC,Prusament PC Blend,Carbon Fiber Black,25g,2.793388,In stock,/content/images/product/a54e8dec-bb5e-49b7-8940-9abde8692e97.jpg,https://www.prusa3d.com/product/product/prusament-pc-blend-carbon-fiber-black-25g-sample-2//
PC,Prusament PC Blend,Carbon Fiber Black – Multipack 10 pcs,800g,599.917355,Estimated leadtime 1 week,/content/images/product/6a81ebbe-3fc4-4ba8-8652-4299cf1b24ff.png,https://www.prusa3d.com/product/product/prusament-pc-blend-carbon-fiber-black-800g-nfc-multipack-10-pcs//
PC,Prusament PC Blend,Jet Black – Multipack 10 pcs,900g,425.826446,Estimated leadtime 1 week,/content/images/product/600eef80-e0ff-4721-95b6-39096e2eb63e.png,https://www.prusa3d.com/product/product/prusament-pc-blend-jet-black-900g-nfc-multipack-10-pcs//
PC,Prusament PC Blend,Natural – Multipack 10 pcs,900g,425.826446,Estimated leadtime 1 week,/content/images/product/1f39db47-9d78-46fb-8d8d-865e6d1556de.png,https://www.prusa3d.com/product/product/prusament-pc-blend-natural-900g-nfc-multipack-10-pcs//
PC,Prusament PC Blend,Prusa Orange – Multipack 10 pcs,900g,425.826446,Estimated leadtime 1 week,/content/images/product/6ae80272-09c4-431e-b8dd-76416b518490.png,https://www.prusa3d.com/product/product/prusament-pc-blend-prusa-orange-900g-nfc-multipack-10-pcs//
PC,Prusament PC Blend,Prusa Pro Green – Multipack 10 pcs,900g,425.826446,Estimated leadtime 1 week,/content/images/product/80011e1e-c7eb-42e9-83df-2f99394bf4e8.png,https://www.prusa3d.com/product/product/prusament-pc-blend-prusa-pro-green-900g-nfc-multipack-10-pcs//
PC,Prusament PC Blend,Urban Grey – Multipack 10 pcs,900g,425.826446,Estimated leadtime 1 week,/content/images/product/dc97d544-b64e-4ddc-9698-a290443a5ddb.png,https://www.prusa3d.com/product/product/prusament-pc-blend-urban-grey-900g-nfc-multipack-10-pcs//
PC,Prusament PC Space,Grade Black,850g,229.000000,In stock,/content/images/product/d6ab4edd-ad7b-431e-b0c2-d41abccc598a.jpg,https://www.prusa3d.com/product/product/prusament-pc-space-grade-black-850g-nfc//
PEI,Prusament PEI 1010,Natural – Multipack 10 pcs,500g,1390.000000,Estimated leadtime 1 week,/content/images/product/623c843c-2698-4138-9fb2-0379fc7a807a.png,https://www.prusa3d.com/product/product/prusament-pei-1010-natural-500g-nfc-multipack-10-pcs//
PEI,Prusament PEI 1010,Natural,25g,7.190083,In stock,/content/images/product/cfad2f7d-5484-4924-bdda-4bd03a085112.jpg,https://www.prusa3d.com/product/product/prusament-pei-1010-natural-25g-sample-2//
PETG,Prusament PETG,Prusa Pro Green,1kg,29.991736,In stock,/content/images/product/aa658b19-6ba7-4525-af81-c8ccd755d126.jpg,https://www.prusa3d.com/product/product/prusament-petg-prusa-pro-green-1kg-nfc//
PETG,Prusament PETG,Neon Green,1kg,29.991736,In stock,/content/images/product/fc7ef47a-441a-4e9f-a8cf-116ff930b6b5.jpg,https://www.prusa3d.com/product/product/prusament-petg-neon-green-1kg-nfc//
PETG,Prusament PETG,Prusa Orange,1kg,29.991736,In stock,/content/images/product/f1d3e13c-602a-4236-b04e-580e37b4ba09.jpg,https://www.prusa3d.com/product/product/prusament-petg-prusa-orange-1kg-nfc//
PETG,Prusament PETG,Carbon Fiber Black,1kg,54.991736,In stock,/content/images/product/8182591e-aeb7-41cf-bee7-156de4c31b5f.jpg,https://www.prusa3d.com/product/product/prusament-petg-carbon-fiber-black-1kg-nfc//
PETG,Prusament PETG,Galaxy Black,2kg,49.990000,In stock,/content/images/product/10018ea0-53f2-49b9-baaa-49a8d3db24e3.png,https://www.prusa3d.com/product/product/prusament-petg-galaxy-black-2kg-nfc//
PETG,Prusament PETG,Jet Black,1kg,29.991736,In stock,/content/images/product/aefddc22-00ff-4a4f-a79d-2099c3f755e0.jpg,https://www.prusa3d.com/product/product/prusament-petg-jet-black-1kg-nfc//
PETG,Prusament PETG,Prusa Galaxy Black,1kg,29.991736,In stock,/content/images/product/53ff0342-bff9-4d03-986c-5657040dd88c.jpg,https://www.prusa3d.com/product/product/prusament-petg-prusa-galaxy-black-1kg-nfc//
PETG,Prusament PETG,Ultraglow Green,800g,76.842593,In stock,/content/images/product/c23f80e1-a2d4-441f-9256-4409b3e05ad9.jpg,https://www.prusa3d.com/product/product/prusament-petg-ultraglow-green-800g-nfc//
PETG,Prusament PETG,Anthracite Grey,1kg,29.991736,In stock,/content/images/product/e654692e-4bca-40e2-a8c8-e2dbfbdf823e.jpg,https://www.prusa3d.com/product/product/prusament-petg-anthracite-grey-1kg-nfc//
PETG,Prusament PETG,Clear,1kg,29.991736,In stock,/content/images/product/bf599cd9-a994-41e1-aba3-2d604951bdaf.jpg,https://www.prusa3d.com/product/product/prusament-petg-clear-1kg-nfc//
PETG,Prusament PETG,Shimmering Violet,1kg,29.991736,In stock,/content/images/product/de0af303-f021-4b36-ad6e-a31de1cf06cd.jpg,https://www.prusa3d.com/product/product/prusament-petg-shimmering-violet-1kg-nfc//
PETG,Prusament PETG,Signal White,1kg,29.991736,In stock,/content/images/product/c0909166-4b5b-4143-9277-68012e999237.jpg,https://www.prusa3d.com/product/product/prusament-petg-signal-white-1kg-nfc//
PETG,Prusament PETG,Sky Blue,1kg,29.991736,In stock,/content/images/product/3dc62763-29f1-4a00-820f-ca0b6f4e9b4b.png,https://www.prusa3d.com/product/product/prusament-petg-sky-blue-1kg-nfc//
PETG,Prusament PETG,Tungsten 75%,1kg,304.629630,Out of stock,/content/images/product/9f34cf66-59a1-47fb-826f-09fe567f7d72.jpg,https://www.prusa3d.com/product/product/prusament-petg-tungsten-75-1kg-nfc//
PETG,Prusament PETG,Urban Grey,1kg,29.991736,In stock,/content/images/product/185240e0-cbdd-4d51-a4b6-a32788c4434e.jpg,https://www.prusa3d.com/product/product/prusament-petg-urban-grey-1kg-nfc//
PETG,Prusament PETG V0,Jet Black,1kg,54.991736,In stock,/content/images/product/ba837a8f-849a-4b1a-8c8a-03f0b1e1f852.jpg,https://www.prusa3d.com/product/product/prusament-petg-v0-jet-black-1kg-nfc//
PETG,Prusament PETG V0,Jet Black – Multipack 10 pcs,1kg,549.917355,Estimated leadtime 1 week,/content/images/product/b17e62a8-e994-4d6f-b83e-61a47b70d995.png,https://www.prusa3d.com/product/product/prusament-petg-v0-jet-black-1kg-nfc-multipack-10-pcs//
PETG,Prusament PETG,Carmine Red,1kg,29.991736,In stock,/content/images/product/8633485a-7f4c-4eda-a622-ed95c844726b.jpg,https://www.prusa3d.com/product/product/prusament-petg-carmine-red-1kg-nfc//
PETG,Prusament PETG,Chalky Blue,1kg,29.991736,In stock,/content/images/product/d559f4b8-8e85-483e-a98c-89963617f942.jpg,https://www.prusa3d.com/product/product/prusament-petg-chalky-blue-1kg-nfc//
PETG,Prusament PETG,Electric Green,1kg,29.991736,In stock,/content/images/product/282cfe94-771f-4ba8-b31f-8f008286c9c7.png,https://www.prusa3d.com/product/product/prusament-petg-electric-green-1kg-nfc//
PETG,Prusament PETG,Emerald Green,1kg,29.991736,In stock,/content/images/product/90485d43-c6e8-4219-81aa-7028942ca5d4.png,https://www.prusa3d.com/product/product/prusament-petg-emerald-green-1kg-nfc//
PETG,Prusament PETG,Jungle Green,1kg,29.991736,In stock,/content/images/product/2ed79646-26ed-4733-99f1-46a46d3c9ab5.jpg,https://www.prusa3d.com/product/product/prusament-petg-jungle-green-1kg-nfc//
PETG,Prusament PETG,Lipstick Red,1kg,29.991736,In stock,/content/images/product/c84eaafd-1e13-4d39-b20c-d5b5de405158.jpg,https://www.prusa3d.com/product/product/prusament-petg-lipstick-red-1kg-nfc//
PETG,Prusament PETG,Mango Yellow,1kg,29.991736,In stock,/content/images/product/caa4dbd8-99f7-4532-9fd5-61c02c0c1ecd.jpg,https://www.prusa3d.com/product/product/prusament-petg-mango-yellow-1kg-nfc//
PETG,Prusament PETG,Orange for PPE,1kg,22.493802,In stock,/content/images/product/53e9f1be-9d91-480e-9e7e-45a7205f58b3.jpg,https://www.prusa3d.com/product/product/prusament-petg-orange-for-ppe-1kg-clearance//
PETG,Prusament PETG,Recycled Black,25g,2.190083,In stock,/content/images/product/19c44d45-3bb5-4292-8106-7ebcfe200096.jpg,https://www.prusa3d.com/product/product/prusament-petg-recycled-black-25g-sample//
